,w_accelerometer_time,w_accelerometer_x,w_accelerometer_y,w_accelerometer_z
0,p_accelerometer_time,p_gyroscope_y,p_gyroscope_z,p_accelerometer_x
1,2023-05-25 13:32:09.143000,0.058524717,-0.24435307,9.987232
2,2023-05-25 13:32:09.169000,0.041480485,-0.2725826,9.82437
3,2023-05-25 13:32:09.187000,0.038284693,-0.28802893,9.503438
4,2023-05-25 13:32:09.208000,0.00685939,-0.28856155,9.168135
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
