-10.191031,13.50.42.583,-19.781466,-0.031106694
-8.17149,13.50.42.616,-17.84567,-0.4833502
-6.2644095,13.50.42.651,-16.08216,-1.2849457
-4.7808595,13.50.42.689,-14.062618,-1.4045869
-3.4719856,13.50.42.728,-11.96172,-1.4668003
-2.6201408,13.50.42.729,-10.157532,-1.5098711
-1.78505,13.50.42.764,-7.4177504,-1.3639089
-0.9738788,13.50.42.803,-5.0273204,-0.8662018
-0.67477596,13.50.42.840,-3.1800613,-0.1052842
-0.43070808,13.50.42.882,-1.0863415,-0.02632105
0.014356935,13.50.42.884,0.45942193,0.10049855
0.18424734,13.50.42.951,1.5936198,0.20338993
0.21535404,13.50.42.953,2.495714,0.8063812
-0.02871387,13.50.42.989,3.4719856,1.9525433
-0.75613195,13.50.43.026,4.6779685,4.5535417
-1.4524434,13.50.43.030,7.271788,5.8504515
-1.2586247,13.50.43.068,11.645867,5.4628143
-0.5192425,13.50.43.102,14.361721,6.465407
-0.7322037,13.50.43.139,13.390236,7.6307116
-0.83748794,13.50.43.141,11.047662,7.6426754
-0.16271193,13.50.43.177,10.408778,7.0803623
0.78723866,13.50.43.215,10.255638,6.2883377
1.5816557,13.50.43.251,9.126225,5.6614184
2.440679,13.50.43.289,7.3986077,5.06082
3.17049,13.50.43.292,6.0251274,4.6085763
4.0510488,13.50.43.331,5.0536413,3.9984066
5.0392847,13.50.43.364,3.615555,3.4767714
5.9724855,13.50.43.402,1.3806586,3.1465619
7.2957163,13.50.43.439,-2.5387847,2.7349963
9.911072,13.50.43.441,-5.869594,2.2468605
11.423335,13.50.43.479,-4.8454657,1.727618
12.246467,13.50.43.519,-4.666004,1.6821543
12.662817,13.50.43.552,-5.3718867,2.0602202
12.313465,13.50.43.554,-4.9316072,2.6703901
11.4496565,13.50.43.636,-3.5988052,3.2231321
10.41835,13.50.43.642,-1.9381863,3.4097722
8.944371,13.50.43.701,-0.51445687,4.089334
7.9513497,13.50.43.703,0.8350951,4.359723
6.5443697,13.50.43.709,1.4715859,5.1206403
5.197211,13.50.43.751,2.7684958,5.76431
3.6777685,13.50.43.777,4.1922255,6.4797635
2.644069,13.50.43.820,6.3361945,6.3050876
1.6342978,13.50.43.852,8.367701,6.300302
1.2203395,13.50.43.853,10.540383,5.4891353
1.5840486,13.50.43.889,12.701102,4.7545385
1.2634103,13.50.43.927,13.418949,4.8861437
0.4977071,13.50.43.965,13.280166,4.847859
0.49052864,13.50.44.005,13.158132,4.125226
0.89491564,13.50.44.005,12.196217,4.0271206
1.3040884,13.50.44.042,10.5284195,4.0438704
2.0386848,13.50.44.077,9.195618,4.1754756
3.1322048,13.50.44.115,8.185846,4.469793
3.95055,13.50.44.152,6.3792653,4.991428
4.5224347,13.50.44.153,4.692325,5.424529
4.910072,13.50.44.190,3.5006995,5.5250273
5.9581285,13.50.44.227,1.8735801,4.7138605
7.8460655,13.50.44.271,-0.19142582,3.5988052
9.343972,13.50.44.272,-1.4955142,2.6871397
10.351351,13.50.44.302,-2.5316064,1.402194
11.693725,13.50.44.342,-3.694518,0.27517462
11.990435,13.50.44.377,-3.4863427,-0.4761717
11.739188,13.50.44.452,-2.914458,-1.0241281
11.29173,13.50.44.453,-3.1202407,-0.9667004
10.4351,13.50.44.454,-3.6083765,0.24885355
9.437292,13.50.44.498,-3.4887354,1.3615161
8.822337,13.50.44.532,-2.792424,1.9142581
8.003992,13.50.44.564,-1.9214365,2.7565317
6.74776,13.50.44.567,-0.5479564,4.508078
5.9270215,13.50.44.602,1.8400806,5.218746
5.355137,13.50.44.644,4.709075,4.615755
4.5655055,13.50.44.682,5.8432727,4.955536
3.3834512,13.50.44.714,7.8221374,5.8767724
2.481357,13.50.44.751,10.265209,5.8217373
1.7395821,13.50.44.753,11.650654,5.7188463
0.53599226,13.50.44.789,11.676974,6.113662
-0.02871387,13.50.44.828,12.547962,6.73101
-0.031106694,13.50.44.865,13.201202,6.4295144
0.48095736,13.50.44.866,12.476177,6.1064835
1.2131611,13.50.44.903,10.750952,5.6039906
2.2660031,13.50.44.945,9.02812,5.1326046
3.4719856,13.50.44.977,7.166504,4.3764725
4.9316072,13.50.44.979,5.3240304,4.213761
5.8265233,13.50.45.015,3.8739798,4.0271206
6.9152575,13.50.45.054,2.5794628,3.493521
8.056634,13.50.45.091,1.375873,2.8259234
8.700303,13.50.45.126,-0.23928227,2.3712873
9.564112,13.50.45.164,-1.727618,1.6079768
10.877771,13.50.45.203,-3.1154552,0.5623133
11.456835,13.50.45.206,-3.9481573,-0.033499517
11.289337,13.50.45.244,-3.5964124,0.016749758
10.822737,13.50.45.284,-3.4169507,0.7393822
10.1599245,13.50.45.287,-3.0125637,1.6007984
9.379865,13.50.45.319,-2.199004,2.6273193
8.693125,13.50.45.356,-0.75613195,3.3547373
8.0614195,13.50.45.390,0.96909314,4.005585
7.0229344,13.50.45.427,2.7397819,4.6085763
6.0921264,13.50.45.465,4.237689,4.723432
5.5106707,13.50.45.502,5.979664,4.254439
