,p_accelerometer_time,p_accelerometer_x,p_accelerometer_y,p_accelerometer_z
79,2023-05-10 13:34:48.558,9.460327,3.2236965,-2.3471193
80,2023-05-10 13:34:48.586,9.445957,3.2093263,-2.4093897
81,2023-05-10 13:34:48.608,9.441168,3.2668068,-2.4908204
82,2023-05-10 13:34:48.623,9.441168,3.3386574,-2.4716604
83,2023-05-10 13:34:48.644,9.455538,3.3721876,-2.4908204
84,2023-05-10 13:34:48.657,9.422008,3.3434474,-2.5195606
85,2023-05-10 13:34:48.694,9.364527,3.319497,-2.44771
86,2023-05-10 13:34:48.703,9.340576,3.3578174,-2.3902297
87,2023-05-10 13:34:48.735,9.316627,3.4919386,-2.3758595
88,2023-05-10 13:34:48.757,9.302257,3.6212697,-2.4572902
89,2023-05-10 13:34:48.779,9.335787,3.7362306,-2.5578809
90,2023-05-10 13:34:48.780,9.307046,3.8128712,-2.572251
91,2023-05-10 13:34:48.803,9.321417,3.803291,-2.5914114
92,2023-05-10 13:34:48.823,9.364527,3.7506008,-2.562671
93,2023-05-10 13:34:48.855,9.335787,3.65959,-2.4716604
94,2023-05-10 13:34:48.872,9.292676,3.6021094,-2.44771
95,2023-05-10 13:34:48.895,9.302257,3.6116896,-2.3710694
96,2023-05-10 13:34:48.918,9.297466,3.6404297,-2.323169
97,2023-05-10 13:34:48.938,9.3309965,3.7074904,-2.3710694
98,2023-05-10 13:34:48.952,9.398057,3.7362306,-2.5099807
99,2023-05-10 13:34:48.968,9.388477,3.7122805,-2.5770411
100,2023-05-10 13:34:48.985,9.378897,3.6500099,-2.5530908
101,2023-05-10 13:34:49.008,9.326206,3.5733693,-2.4764502
102,2023-05-10 13:34:49.028,9.3309965,3.5206788,-2.4093897
103,2023-05-10 13:34:49.046,9.383687,3.4584084,-2.3998096
104,2023-05-10 13:34:49.071,9.422008,3.4057178,-2.4093897
105,2023-05-10 13:34:49.091,9.431587,3.3386574,-2.4572902
106,2023-05-10 13:34:49.114,9.445957,3.2668068,-2.3854396
107,2023-05-10 13:34:49.139,9.431587,3.180586,-2.299219
108,2023-05-10 13:34:49.151,9.441168,3.1422658,-2.2608986
109,2023-05-10 13:34:49.174,9.503438,3.1422658,-2.2704787
110,2023-05-10 13:34:49.185,9.489068,3.180586,-2.3375392
111,2023-05-10 13:34:49.221,9.460327,3.2380664,-2.3519094
112,2023-05-10 13:34:49.234,9.469908,3.2859669,-2.3806496
113,2023-05-10 13:34:49.253,9.503438,3.3242872,-2.3998096
114,2023-05-10 13:34:49.269,9.484278,3.3434474,-2.3854396
115,2023-05-10 13:34:49.300,9.460327,3.3386574,-2.3471193
116,2023-05-10 13:34:49.317,9.436378,3.3482375,-2.3471193
117,2023-05-10 13:34:49.342,9.417217,3.3434474,-2.3471193
118,2023-05-10 13:34:49.351,9.402847,3.3482375,-2.3471193
119,2023-05-10 13:34:49.369,9.369317,3.3865578,-2.3566992
120,2023-05-10 13:34:49.391,9.364527,3.4344583,-2.3614893
121,2023-05-10 13:34:49.418,9.369317,3.5110989,-2.42376
122,2023-05-10 13:34:49.440,9.364527,3.6068995,-2.4860303
123,2023-05-10 13:34:49.456,9.340576,3.66438,-2.5004005
124,2023-05-10 13:34:49.473,9.311836,3.7074904,-2.543511
125,2023-05-10 13:34:49.491,9.263936,3.7314405,-2.6153615
126,2023-05-10 13:34:49.523,9.263936,3.7649708,-2.6441016
127,2023-05-10 13:34:49.543,9.287886,3.7506008,-2.6201515
128,2023-05-10 13:34:49.559,9.311836,3.7027004,-2.6249416
129,2023-05-10 13:34:49.573,9.302257,3.6452198,-2.5914114
130,2023-05-10 13:34:49.608,9.3309965,3.6068995,-2.567461
131,2023-05-10 13:34:49.623,9.292676,3.544629,-2.5387208
132,2023-05-10 13:34:49.635,9.321417,3.4584084,-2.5004005
133,2023-05-10 13:34:49.658,9.359736,3.4440382,-2.5147705
134,2023-05-10 13:34:49.679,9.383687,3.4344583,-2.5530908
135,2023-05-10 13:34:49.706,9.378897,3.4631984,-2.6057813
136,2023-05-10 13:34:49.717,9.393267,3.4727786,-2.6153615
137,2023-05-10 13:34:49.737,9.374106,3.4967287,-2.5914114
138,2023-05-10 13:34:49.756,9.3453665,3.4679885,-2.5914114
139,2023-05-10 13:34:49.788,9.340576,3.4584084,-2.5818312
140,2023-05-10 13:34:49.803,9.316627,3.4344583,-2.548301
141,2023-05-10 13:34:49.819,9.297466,3.4296682,-2.567461
142,2023-05-10 13:34:49.836,9.316627,3.4823585,-2.6105714
143,2023-05-10 13:34:49.855,9.307046,3.558999,-2.6393116
144,2023-05-10 13:34:49.883,9.273516,3.6164796,-2.6967921
145,2023-05-10 13:34:49.899,9.297466,3.6308498,-2.672842
146,2023-05-10 13:34:49.919,9.316627,3.5973196,-2.687212
147,2023-05-10 13:34:49.936,9.340576,3.5877395,-2.692002
148,2023-05-10 13:34:49.960,9.354947,3.5637891,-2.7111623
149,2023-05-10 13:34:49.983,9.311836,3.535049,-2.7111623
150,2023-05-10 13:34:50.000,9.287886,3.544629,-2.672842
151,2023-05-10 13:34:50.017,9.278306,3.5542092,-2.6057813
152,2023-05-10 13:34:50.051,9.278306,3.5973196,-2.567461
153,2023-05-10 13:34:50.065,9.292676,3.6548,-2.6297317
154,2023-05-10 13:34:50.087,9.316627,3.6404297,-2.7446926
155,2023-05-10 13:34:50.105,9.326206,3.6021094,-2.7303224
156,2023-05-10 13:34:50.119,9.292676,3.5973196,-2.672842
157,2023-05-10 13:34:50.145,9.244776,3.5925295,-2.6441016
158,2023-05-10 13:34:50.170,9.259146,3.5733693,-2.6393116
159,2023-05-10 13:34:50.190,9.287886,3.6068995,-2.6536818
160,2023-05-10 13:34:50.204,9.278306,3.6164796,-2.7063723
161,2023-05-10 13:34:50.233,9.297466,3.5925295,-2.6776319
162,2023-05-10 13:34:50.254,9.321417,3.5829494,-2.663262
163,2023-05-10 13:34:50.275,9.292676,3.5733693,-2.6776319
164,2023-05-10 13:34:50.282,9.254355,3.6021094,-2.672842
165,2023-05-10 13:34:50.319,9.249566,3.6068995,-2.687212
166,2023-05-10 13:34:50.339,9.230406,3.5973196,-2.687212
167,2023-05-10 13:34:50.354,9.263936,3.5685792,-2.687212
168,2023-05-10 13:34:50.373,9.297466,3.558999,-2.692002
169,2023-05-10 13:34:50.391,9.321417,3.558999,-2.687212
170,2023-05-10 13:34:50.426,9.326206,3.558999,-2.7063723
171,2023-05-10 13:34:50.427,9.297466,3.5542092,-2.682422
172,2023-05-10 13:34:50.445,9.273516,3.5637891,-2.6536818
173,2023-05-10 13:34:50.466,9.268726,3.5781593,-2.6488917
174,2023-05-10 13:34:50.487,9.283096,3.6212697,-2.6441016
175,2023-05-10 13:34:50.507,9.302257,3.6260598,-2.692002
176,2023-05-10 13:34:50.531,9.316627,3.6116896,-2.7111623
177,2023-05-10 13:34:50.549,9.316627,3.6164796,-2.7303224
178,2023-05-10 13:34:50.567,9.287886,3.5973196,-2.7015822
179,2023-05-10 13:34:50.585,9.268726,3.5829494,-2.6441016
180,2023-05-10 13:34:50.617,9.268726,3.5637891,-2.5866213
181,2023-05-10 13:34:50.638,9.268726,3.535049,-2.6297317
182,2023-05-10 13:34:50.650,9.268726,3.535049,-2.6393116
183,2023-05-10 13:34:50.669,9.287886,3.5254688,-2.6297317
184,2023-05-10 13:34:50.686,9.311836,3.530259,-2.5818312
185,2023-05-10 13:34:50.715,9.3453665,3.530259,-2.6153615
186,2023-05-10 13:34:50.733,9.335787,3.530259,-2.6441016
