,p_accelerometer_time,p_accelerometer_x,p_accelerometer_y,p_accelerometer_z
0,2023-05-10 13:21:34.365,10.068663,1.9639161,-0.364043
1,2023-05-10 13:21:34.383,10.073453,1.9255958,-0.37362307
2,2023-05-10 13:21:34.412,10.049502,1.9255958,-0.38320315
3,2023-05-10 13:21:34.430,10.049502,1.9303858,-0.364043
4,2023-05-10 13:21:34.449,10.044712,1.9303858,-0.3544629
5,2023-05-10 13:21:34.470,10.044712,1.9255958,-0.364043
6,2023-05-10 13:21:34.485,10.030342,1.9208057,-0.37362307
7,2023-05-10 13:21:34.509,10.035132,1.9351759,-0.39757326
8,2023-05-10 13:21:34.533,10.068663,1.9112257,-0.364043
9,2023-05-10 13:21:34.550,10.068663,1.9160157,-0.3784131
10,2023-05-10 13:21:34.571,10.083033,1.9255958,-0.39278322
11,2023-05-10 13:21:34.596,10.059082,1.9208057,-0.4023633
12,2023-05-10 13:21:34.612,10.035132,1.9351759,-0.40715334
13,2023-05-10 13:21:34.632,10.030342,1.9160157,-0.38320315
14,2023-05-10 13:21:34.649,10.044712,1.9303858,-0.40715334
15,2023-05-10 13:21:34.668,10.059082,1.9399658,-0.4167334
16,2023-05-10 13:21:34.687,10.073453,1.9351759,-0.4406836
17,2023-05-10 13:21:34.711,10.059082,1.949546,-0.4263135
18,2023-05-10 13:21:34.730,10.073453,1.954336,-0.4263135
19,2023-05-10 13:21:34.770,10.063872,1.9303858,-0.4406836
20,2023-05-10 13:21:34.771,10.063872,1.9112257,-0.42152345
21,2023-05-10 13:21:34.789,10.054293,1.9303858,-0.39757326
22,2023-05-10 13:21:34.819,10.068663,1.9351759,-0.4023633
23,2023-05-10 13:21:34.830,10.044712,1.9303858,-0.40715334
24,2023-05-10 13:21:34.867,10.039923,1.9351759,-0.40715334
25,2023-05-10 13:21:34.886,10.054293,1.949546,-0.3784131
26,2023-05-10 13:21:34.896,10.068663,1.949546,-0.41194338
27,2023-05-10 13:21:34.917,10.049502,1.949546,-0.40715334
28,2023-05-10 13:21:34.943,10.059082,1.9303858,-0.4167334
29,2023-05-10 13:21:34.961,10.015972,1.954336,-0.45026368
30,2023-05-10 13:21:34.982,10.001602,2.0213966,-0.5843848
31,2023-05-10 13:21:35.010,10.015972,2.0213966,-0.57959473
32,2023-05-10 13:21:35.033,9.987232,1.9639161,-0.48379397
33,2023-05-10 13:21:35.044,9.972861,1.9303858,-0.5604346
34,2023-05-10 13:21:35.060,10.044712,1.9399658,-0.7711963
35,2023-05-10 13:21:35.078,10.078242,1.9160157,-0.74724615
36,2023-05-10 13:21:35.096,10.102193,1.8968556,-0.6322852
37,2023-05-10 13:21:35.128,10.130933,1.585503,-0.5508545
38,2023-05-10 13:21:35.144,10.207574,1.3076807,-0.6466553
39,2023-05-10 13:21:35.161,10.221944,1.3939015,-0.9484278
40,2023-05-10 13:21:35.181,10.293795,1.3986914,-0.023950197
41,2023-05-10 13:21:35.200,10.370435,1.0394385,1.7339942
42,2023-05-10 13:21:35.221,10.375225,0.8334668,1.3747413
43,2023-05-10 13:21:35.248,9.431587,1.2549903,-1.1496094
