1659201832923,2022-07-30T12:23:52.923,10.88,0.969,0.068
1659201832963,2022-07-30T12:23:52.963,10.92,0.962,0.069
1659201833003,2022-07-30T12:23:53.003,10.96,0.956,0.055
1659201833043,2022-07-30T12:23:53.043,11.0,0.954,0.047
1659201833083,2022-07-30T12:23:53.083,11.04,0.971,0.06
1659201833123,2022-07-30T12:23:53.123,11.08,0.976,0.066
1659201833163,2022-07-30T12:23:53.163,11.12,0.96,0.073
1659201833203,2022-07-30T12:23:53.203,11.16,0.959,0.082
1659201833243,2022-07-30T12:23:53.243,11.2,0.96,0.075
1659201833283,2022-07-30T12:23:53.283,11.24,0.966,0.059
1659201833323,2022-07-30T12:23:53.323,11.28,0.968,0.042
1659201833363,2022-07-30T12:23:53.363,11.32,0.965,0.077
1659201833403,2022-07-30T12:23:53.403,11.36,0.962,0.097
1659201833443,2022-07-30T12:23:53.443,11.4,0.959,0.085
1659201833483,2022-07-30T12:23:53.483,11.44,0.968,0.094
1659201833523,2022-07-30T12:23:53.523,11.48,0.965,0.101
1659201833563,2022-07-30T12:23:53.563,11.52,0.956,0.095
1659201833603,2022-07-30T12:23:53.603,11.56,0.966,0.09
1659201833643,2022-07-30T12:23:53.643,11.6,0.968,0.078
1659201833683,2022-07-30T12:23:53.683,11.64,0.966,0.066
1659201833723,2022-07-30T12:23:53.723,11.68,0.968,0.06
1659201833763,2022-07-30T12:23:53.763,11.72,0.97,0.048
1659201833803,2022-07-30T12:23:53.803,11.76,0.972,0.026
1659201833843,2022-07-30T12:23:53.843,11.8,0.975,0.029
1659201833883,2022-07-30T12:23:53.883,11.84,0.962,0.023
1659201833923,2022-07-30T12:23:53.923,11.88,0.969,0.039
1659201833963,2022-07-30T12:23:53.963,11.92,0.972,0.042
1659201834003,2022-07-30T12:23:54.003,11.96,0.983,0.05
1659201834043,2022-07-30T12:23:54.043,12.0,0.969,0.038
1659201834083,2022-07-30T12:23:54.083,12.04,0.969,0.062
1659201834123,2022-07-30T12:23:54.123,12.08,0.968,0.06
1659201834163,2022-07-30T12:23:54.163,12.12,0.965,0.039
1659201834203,2022-07-30T12:23:54.203,12.16,0.986,0.043
1659201834243,2022-07-30T12:23:54.243,12.2,0.976,0.057
1659201834283,2022-07-30T12:23:54.283,12.24,0.969,0.084
1659201834323,2022-07-30T12:23:54.323,12.28,0.961,0.07
1659201834363,2022-07-30T12:23:54.363,12.32,0.945,0.085
1659201834403,2022-07-30T12:23:54.403,12.36,0.946,0.093
1659201834443,2022-07-30T12:23:54.443,12.4,0.955,0.059
1659201834483,2022-07-30T12:23:54.483,12.44,0.966,0.025
1659201834523,2022-07-30T12:23:54.523,12.48,0.97,0.034
1659201834563,2022-07-30T12:23:54.563,12.52,0.96,0.021
1659201834603,2022-07-30T12:23:54.603,12.56,0.951,0.049
1659201834643,2022-07-30T12:23:54.643,12.6,0.963,0.066
1659201834683,2022-07-30T12:23:54.683,12.64,0.947,0.065
1659201834723,2022-07-30T12:23:54.723,12.68,0.967,0.055
1659201834763,2022-07-30T12:23:54.763,12.72,0.958,0.056
1659201834803,2022-07-30T12:23:54.803,12.76,0.977,0.037
1659201834843,2022-07-30T12:23:54.843,12.8,0.974,0.01
1659201834883,2022-07-30T12:23:54.883,12.84,0.978,-0.011
1659201834923,2022-07-30T12:23:54.923,12.88,0.971,-0.032
1659201834963,2022-07-30T12:23:54.963,12.92,0.981,-0.015
1659201835003,2022-07-30T12:23:55.003,12.96,0.964,0.05
1659201835043,2022-07-30T12:23:55.043,13.0,0.954,0.063
1659201835083,2022-07-30T12:23:55.083,13.04,0.952,0.087
1659201835123,2022-07-30T12:23:55.123,13.08,0.971,0.095
1659201835163,2022-07-30T12:23:55.163,13.12,0.994,0.032
1659201835203,2022-07-30T12:23:55.203,13.16,0.981,0.007
1659201835243,2022-07-30T12:23:55.243,13.2,0.986,0.025
1659201835283,2022-07-30T12:23:55.283,13.24,0.985,0.036
1659201835323,2022-07-30T12:23:55.323,13.28,0.977,0.026
1659201835363,2022-07-30T12:23:55.363,13.32,0.976,0.039
1659201835403,2022-07-30T12:23:55.403,13.36,0.975,0.066
1659201835443,2022-07-30T12:23:55.443,13.4,0.977,0.073
1659201835483,2022-07-30T12:23:55.483,13.44,0.977,0.039
1659201835523,2022-07-30T12:23:55.523,13.48,0.993,0.027
1659201835563,2022-07-30T12:23:55.563,13.52,0.975,0.036
1659201835603,2022-07-30T12:23:55.603,13.56,0.983,0.06
1659201835643,2022-07-30T12:23:55.643,13.6,0.978,0.05
1659201835683,2022-07-30T12:23:55.683,13.64,0.974,0.054
1659201835723,2022-07-30T12:23:55.723,13.68,0.982,0.044
1659201835763,2022-07-30T12:23:55.763,13.72,0.972,0.055
