,p_gyroscope_time,p_gyroscope_x,p_gyroscope_y,p_gyroscope_z
0,w_gyroscope_time,label,p_gyroscope_x,w_gyroscope_z
1,2023-05-25 12:48:56.174000,66c0tug2,-0.002884878,0.04029667
2,2023-05-25 12:48:56.180000,66c0tug2,0.0008435475,0.15141778
3,2023-05-25 12:48:56.181000,66c0tug2,0.0013761797,0.27108666
4,2023-05-25 12:48:56.182000,66c0tug2,-0.0012869814,0.46158
5,2023-05-25 12:48:56.219000,66c0tug2,-0.0018196136,0.6520734
6,2023-05-25 12:48:56.220000,66c0tug2,0.0024414442,0.8315767
7,2023-05-25 12:48:56.261000,66c0tug2,-0.0018196136,0.96223557
8,2023-05-25 12:48:56.267000,66c0tug2,-0.0039501423,1.02207
9,2023-05-25 12:48:56.307000,66c0tug2,-0.00075434917,1.07336
10,2023-05-25 12:48:56.398000,66c0tug2,0.0029740764,1.0819045
11,2023-05-25 12:48:56.401000,66c0tug2,0.0008435475,0.9646778
12,2023-05-25 12:48:56.402000,66c0tug2,-0.0039501423,0.7619734
13,2023-05-25 12:48:56.408000,66c0tug2,0.0013761797,0.6056711
14,2023-05-25 12:48:56.449000,66c0tug2,0.0024414442,0.4383789
15,2023-05-25 12:48:56.450000,66c0tug2,-0.0012869814,0.26376
16,2023-05-25 12:48:56.451000,66c0tug2,-0.00075434917,0.14775445
17,2023-05-25 12:48:56.491000,66c0tug2,0.0003109153,0.05006556
18,2023-05-25 12:48:56.492000,66c0tug2,0.0013761797,-0.047623336
19,2023-05-25 12:48:56.494000,66c0tug2,0.0003109153,-0.15508112
20,2023-05-25 12:48:56.496000,66c0tug2,-0.0018196136,-0.25643334
21,2023-05-25 12:48:56.532000,66c0tug2,0.005637237,-0.27963445
22,2023-05-25 12:48:56.535000,66c0tug2,0.005637237,-0.29917222
23,2023-05-25 12:48:56.578000,66c0tug2,-0.002884878,-0.30405667
24,2023-05-25 12:48:56.578000,66c0tug2,-0.002884878,-0.18927222
25,2023-05-25 12:48:56.581000,66c0tug2,-0.0034175103,-0.0061055557
26,2023-05-25 12:48:56.624000,66c0tug2,-0.0012869814,0.16362889
27,2023-05-25 12:48:56.625000,66c0tug2,-0.00022171694,0.24544334
28,2023-05-25 12:48:56.667000,66c0tug2,-0.0023522459,0.41273558
29,2023-05-25 12:48:56.670000,66c0tug2,0.0024414442,0.59956557
30,2023-05-25 12:48:56.712000,66c0tug2,0.0067025023,0.6203245
31,2023-05-25 12:48:56.714000,66c0tug2,0.007767766,0.5324045
32,2023-05-25 12:48:56.758000,66c0tug2,0.005104605,0.3724389
33,2023-05-25 12:48:56.759000,66c0tug2,0.009365663,0.17706113
34,2023-05-25 12:48:49.298000,66c0tug2,-0.07585017,0.02198
35,2023-05-25 12:48:58.617000,66c0tug2,-0.33843786,-0.5641534
36,2023-05-25 12:48:58.617000,66c0tug2,-0.48224306,-0.15019667
37,2023-05-25 12:48:58.617000,,-1.3413788,-0.21613668
38,2023-05-25 12:48:58.618000,,-1.4170126,-0.47379112
39,2023-05-25 12:48:58.618000,,-1.080389,-0.64108336
40,2023-05-25 12:48:58.618000,,-1.2321892,-0.98055226
41,2023-05-25 12:48:58.618000,,-2.702787,-1.2711767
42,2023-05-25 12:48:58.618000,,-2.894002,-1.5251678
43,2023-05-25 12:48:58.618000,,-2.2372663,-1.4470167
44,2023-05-25 12:48:58.645000,,-2.1387293,-1.2186689
