,p_gyroscope_time,p_gyroscope_x,p_gyroscope_y,p_gyroscope_z
0,2023-03-27 15:40:07.426,-3.878147,0.644995,-0.29464373
1,2023-03-27 15:40:07.445,-3.8509827,0.33926404,-0.23978259
2,2023-03-27 15:40:07.466,-3.5788076,0.21356282,-0.25522894
3,2023-03-27 15:40:07.487,-3.039784,0.38933146,-0.3372543
4,2023-03-27 15:40:07.509,-2.3628082,0.77016354,-0.45443338
5,2023-03-27 15:40:07.528,-1.8014139,1.0370122,-0.6387241
6,2023-03-27 15:40:07.547,-1.6416243,0.9283553,-0.8869307
7,2023-03-27 15:40:07.570,-1.9723889,0.701454,-1.0046425
8,2023-03-27 15:40:07.586,-2.6216676,0.8239594,-0.8853328
9,2023-03-27 15:40:07.610,-3.3923864,0.8127741,-0.71276
10,2023-03-27 15:40:07.632,-4.0081096,0.32435033,-0.58333033
11,2023-03-27 15:40:07.651,-4.2541857,0.052707896,-0.62487566
12,2023-03-27 15:40:07.673,-4.156714,0.18107226,-0.8267433
13,2023-03-27 15:40:07.694,-3.8328733,0.43886626,-0.9567056
14,2023-03-27 15:40:07.710,-3.3614938,0.5182285,-0.91302973
15,2023-03-27 15:40:07.730,-2.9135501,0.21942177,-0.87468016
16,2023-03-27 15:40:07.752,-2.6738656,-0.2098798,-0.95350975
17,2023-03-27 15:40:07.772,-2.6685393,-0.31214517,-0.91036654
18,2023-03-27 15:40:07.793,-2.7218025,0.043120515,-0.7670885
19,2023-03-27 15:40:07.810,-2.6632128,0.37281987,-0.78945905
20,2023-03-27 15:40:07.835,-2.5247285,0.23113969,-0.861897
21,2023-03-27 15:40:07.856,-2.387842,-0.0990923,-0.821417
22,2023-03-27 15:40:07.874,-2.301023,-0.10814704,-0.7090316
23,2023-03-27 15:40:07.895,-2.2456293,0.1272764,-0.60143983
24,2023-03-27 15:40:07.916,-2.151886,0.17468067,-0.51834923
25,2023-03-27 15:40:07.935,-1.9526815,0.005303625,-0.43525863
26,2023-03-27 15:40:07.954,-1.6698538,-0.099624924,-0.3670817
