,p_gyroscope_time,p_gyroscope_x,p_gyroscope_y,p_gyroscope_z
0,p_gyroscope_time,p_gyroscope_x,p_gyroscope_y,p_gyroscope_z
1,2023-05-17 10:51:58.090000,-0.014881944,-0.034110792,-0.008517298
2,2023-05-17 10:51:58.114000,-0.015947208,-0.039437115,-0.011180459
3,2023-05-17 10:51:58.130000,-0.017545104,-0.042632908,-0.012245724
4,2023-05-17 10:51:58.147000,-0.017012473,-0.03570869,-0.010647827
5,2023-05-17 10:51:58.176000,-0.01647984,-0.036241323,-0.0074520335
6,2023-05-17 10:51:58.185000,-0.015947208,-0.04529607,-0.001060447
7,2023-05-17 10:51:58.204000,-0.015414577,-0.05275292,0.0021353464
8,2023-05-17 10:51:58.231000,-0.013816679,-0.049024496,-0.004788872
9,2023-05-17 10:51:58.249000,-0.011153517,-0.03890448,-0.014908886
10,2023-05-17 10:51:58.265000,-0.008490358,-0.03357816,-0.017039413
11,2023-05-17 10:51:58.288000,-0.0058271955,-0.03837185,-0.011713091
12,2023-05-17 10:51:58.311000,-0.004761931,-0.04529607,-0.0058541372
13,2023-05-17 10:51:58.331000,0.00056439126,-0.050089758,0.001070082
14,2023-05-17 10:51:58.348000,0.0026949202,-0.04795923,-0.00052781473
15,2023-05-17 10:51:58.371000,0.0016296557,-0.036241323,-0.0074520335
16,2023-05-17 10:51:58.387000,-0.0036966666,-0.028251838,-0.010647827
17,2023-05-17 10:51:58.414000,-0.009022988,-0.027719205,-0.010115195
18,2023-05-17 10:51:58.433000,-0.009555621,-0.02399078,-0.004788872
19,2023-05-17 10:51:58.448000,-0.0036966666,-0.011740239,0.001070082
20,2023-05-17 10:51:58.475000,0.0058907135,-0.002152859,0.0047985073
21,2023-05-17 10:51:58.493000,0.011749668,0.002640831,0.0026679786
22,2023-05-17 10:51:58.514000,0.011749668,0.0058366247,-0.0021257114
23,2023-05-17 10:51:58.530000,0.0074916864,0.012758598,-0.0031870208
24,2023-05-17 10:51:58.571000,0.002165364,0.01808492,-0.0015891241
25,2023-05-17 10:51:58.572000,-0.0036935904,0.017019656,8.772593e-06
26,2023-05-17 10:51:58.598000,-0.004758855,0.014889127,0.001074037
27,2023-05-17 10:51:58.613000,-0.0042262226,0.013823861,0.0026719337
28,2023-05-17 10:51:58.631000,-0.0015630615,0.01595439,0.0016066693
29,2023-05-17 10:51:58.650000,0.0011000996,0.019150184,-0.0010564919
30,2023-05-17 10:51:58.671000,0.0048285252,0.021813344,-0.004784917
31,2023-05-17 10:51:58.691000,0.0048285252,0.022345977,-0.009045975
32,2023-05-17 10:51:58.714000,-0.0031609582,0.016487023,-0.011709137
33,2023-05-17 10:51:58.736000,-0.011150442,0.01595439,-0.013839666
34,2023-05-17 10:51:58.754000,-0.012215706,0.0276723,-0.013839666
35,2023-05-17 10:51:58.773000,-0.010085177,0.028737564,-0.0127744
36,2023-05-17 10:51:58.792000,-0.010617809,0.023411242,-0.0106438715
37,2023-05-17 10:51:58.814000,-0.013813602,0.021813344,-0.008513343
38,2023-05-17 10:51:58.837000,-0.014878867,0.024476506,-0.0106438715
39,2023-05-17 10:51:58.862000,-0.016476763,0.025009139,-0.014904931
40,2023-05-17 10:51:58.878000,-0.021803085,0.02287861,-0.018100724
41,2023-05-17 10:51:58.897000,-0.028727304,0.027139667,-0.019165989
42,2023-05-17 10:51:58.917000,-0.0303252,0.031400725,-0.015970195
