,p_gyroscope_time,p_gyroscope_x,p_gyroscope_y,p_gyroscope_z
0,2023-04-08 15:51:38.052,0.022099081,0.008911012,-0.0033588968
1,2023-04-08 15:51:38.071,0.024762243,0.027020508,0.007293748
2,2023-04-08 15:51:38.091,0.027958037,0.038205788,0.011022174
3,2023-04-08 15:51:38.110,0.031153832,0.040336315,0.007293748
4,2023-04-08 15:51:38.132,0.029555932,0.030748932,0.0014347933
5,2023-04-08 15:51:38.151,0.017838024,0.009443644,-0.0044241613
6,2023-04-08 15:51:38.172,0.0034569546,-0.014524806,-0.009217851
7,2023-04-08 15:51:38.189,-0.0029346321,-0.026242714,-0.017739967
8,2023-04-08 15:51:38.209,-0.002402,-0.025710082,-0.028925244
9,2023-04-08 15:51:38.229,-0.01198938,-0.027840612,-0.033718932
10,2023-04-08 15:51:38.248,-0.026903082,-0.03210167,-0.026262082
11,2023-04-08 15:51:38.269,-0.030098876,-0.031036405,-0.011881012
12,2023-04-08 15:51:38.288,-0.015185174,-0.023046922,0.0046305866
13,2023-04-08 15:51:38.308,0.0061201155,-0.012926909,0.013152703
14,2023-04-08 15:51:38.328,0.018903289,-0.0038721613,0.016881127
15,2023-04-08 15:51:38.347,0.0141095985,0.0046499544,0.018479023
16,2023-04-08 15:51:38.368,0.009315909,0.019031024,0.012087438
17,2023-04-08 15:51:38.390,0.013576966,0.03660789,-0.0033588968
18,2023-04-08 15:51:38.409,0.02156645,0.033412095,-0.018805232
19,2023-04-08 15:51:38.427,0.018370656,0.016367864,-0.02093576
20,2023-04-08 15:51:38.447,0.0061201155,0.015835231,-0.01134838
21,2023-04-08 15:51:38.466,0.00718538,0.021694185,-0.00069573557
22,2023-04-08 15:51:38.487,0.018903289,0.027020508,0.006228483
23,2023-04-08 15:51:38.505,0.030088566,0.028618405,0.009956909
24,2023-04-08 15:51:38.524,0.027425405,0.022226818,0.0115548065
25,2023-04-08 15:51:38.545,0.009315909,0.006780483,0.0115548065
26,2023-04-08 15:51:38.565,-0.016250437,-0.008665851,0.010489541
27,2023-04-08 15:51:38.584,-0.03116414,-0.019318497,0.007293748
28,2023-04-08 15:51:38.604,-0.032229405,-0.02517745,-0.00069573557
29,2023-04-08 15:51:38.624,-0.029033612,-0.028905876,-0.006022058
30,2023-04-08 15:51:38.643,-0.027968347,-0.026775347,-0.0022936324
31,2023-04-08 15:51:38.663,-0.02637045,-0.02251429,0.008891645
