,w_gyroscope_time,w_gyroscope_x,w_gyroscope_y,w_gyroscope_z
75,2023-04-08 15:14:20.068,-0.08303556,-0.019537779,0.018316668
76,2023-04-08 15:14:20.114,-0.07448778,-0.013432222,0.012211111
77,2023-04-08 15:14:20.115,-0.047623336,0.0,0.02075889
78,2023-04-08 15:14:20.115,-0.01099,0.009768889,0.026864445
79,2023-04-08 15:14:20.157,0.018316668,0.013432222,0.02075889
80,2023-04-08 15:14:20.158,0.05006556,0.012211111,0.023201112
81,2023-04-08 15:14:20.197,0.048844445,0.009768889,0.028085556
82,2023-04-08 15:14:20.198,0.029306669,-0.0036633336,0.028085556
83,2023-04-08 15:14:20.240,0.024422223,-0.007326667,0.023201112
84,2023-04-08 15:14:20.241,0.014653334,0.0036633336,0.014653334
85,2023-04-08 15:14:20.288,0.008547778,0.017095556,-0.0036633336
86,2023-04-08 15:14:20.289,0.028085556,0.015874445,-0.0061055557
87,2023-04-08 15:14:20.290,0.025643334,0.01099,0.0024422223
88,2023-04-08 15:14:20.334,-0.0036633336,0.007326667,-0.0061055557
89,2023-04-08 15:14:20.335,-0.013432222,0.0024422223,0.0048844446
90,2023-04-08 15:14:20.336,-0.02075889,-0.0036633336,0.007326667
91,2023-04-08 15:14:20.382,-0.02198,0.0,0.012211111
92,2023-04-08 15:14:20.383,-0.024422223,0.023201112,0.009768889
93,2023-04-08 15:14:20.427,-0.018316668,0.028085556,0.0048844446
94,2023-04-08 15:14:20.429,-0.007326667,0.03174889,0.008547778
95,2023-04-08 15:14:20.470,-0.012211111,0.026864445,0.013432222
96,2023-04-08 15:14:20.515,-0.035412222,0.02075889,0.018316668
97,2023-04-08 15:14:20.516,-0.04396,0.013432222,0.02198
98,2023-04-08 15:14:20.517,-0.05617111,0.0036633336,0.026864445
99,2023-04-08 15:14:20.560,-0.078151114,0.008547778,0.023201112
100,2023-04-08 15:14:20.562,-0.08059334,-0.0061055557,0.026864445
101,2023-04-08 15:14:20.562,-0.06960334,-0.008547778,0.024422223
102,2023-04-08 15:14:20.605,-0.06594,0.0012211112,0.02075889
103,2023-04-08 15:14:20.609,-0.068382226,-0.007326667,0.026864445
104,2023-04-08 15:14:20.609,-0.085477784,-0.015874445,0.028085556
105,2023-04-08 15:14:20.649,-0.106236674,-0.02198,0.029306669
106,2023-04-08 15:14:20.650,-0.12089001,-0.023201112,0.03174889
107,2023-04-08 15:14:20.691,-0.1306589,-0.02198,0.026864445
108,2023-04-08 15:14:20.693,-0.12699556,-0.023201112,0.034191113
109,2023-04-08 15:14:20.736,-0.14531223,-0.034191113,0.026864445
110,2023-04-08 15:14:20.737,-0.16485001,-0.04151778,0.03174889
111,2023-04-08 15:14:20.738,-0.20636779,-0.05250778,0.042738892
112,2023-04-08 15:14:20.784,-0.27719223,-0.059834447,0.048844445
113,2023-04-08 15:14:20.784,-0.35900667,-0.047623336,0.054950003
114,2023-04-08 15:14:20.828,-0.4151778,-0.026864445,0.064718895
115,2023-04-08 15:14:20.831,-0.46158,-0.007326667,0.09524667
116,2023-04-08 15:14:20.832,-0.5250778,0.01099,0.11600556
117,2023-04-08 15:14:20.876,-0.58491224,0.024422223,0.14531223
118,2023-04-08 15:14:20.919,-0.6337567,0.057392225,0.18438779
119,2023-04-08 15:14:20.921,-0.6984756,0.07937223,0.23201112
120,2023-04-08 15:14:20.922,-0.7863956,0.12455334,0.28085557
121,2023-04-08 15:14:20.964,-0.8865267,0.16485001,0.36633334
122,2023-04-08 15:14:20.965,-0.9927634,0.21003112,0.4701278
123,2023-04-08 15:14:20.967,-1.0990001,0.2295689,0.58124894
124,2023-04-08 15:14:21.011,-1.1515079,0.23811668,0.6557367
125,2023-04-08 15:14:21.012,-1.16494,0.23323223,0.70580226
126,2023-04-08 15:14:21.013,-1.1063267,0.17950334,0.7106867
127,2023-04-08 15:14:21.054,-0.89385337,0.16485001,0.7265611
128,2023-04-08 15:14:21.055,-0.80593336,0.13554333,0.7851745
129,2023-04-08 15:14:21.102,-0.9549089,0.07448778,0.77418447
130,2023-04-08 15:14:21.103,-1.2003523,0.02198,0.78395337
131,2023-04-08 15:14:21.142,-1.4482379,-0.0012211112,0.7656367
132,2023-04-08 15:14:21.147,-1.6765857,-0.017095556,0.76930004
133,2023-04-08 15:14:21.190,-1.8487623,-0.0024422223,0.7937223
134,2023-04-08 15:14:21.191,-1.9085968,0.042738892,0.8401245
135,2023-04-08 15:14:21.192,-1.8048023,0.12211112,0.8437878
136,2023-04-08 15:14:21.238,-1.5141778,0.2075889,0.7680789
137,2023-04-08 15:14:21.239,-1.1844778,0.27963445,0.6801589
138,2023-04-08 15:14:21.279,-1.1112112,0.2515489,0.63131446
139,2023-04-08 15:14:21.282,-1.3065889,0.17339778,0.6349778
140,2023-04-08 15:14:21.282,-1.61553,0.046402223,0.6935911
141,2023-04-08 15:14:21.325,-1.8402145,-0.078151114,0.75098336
142,2023-04-08 15:14:21.328,-1.9427879,-0.13554333,0.7326667
143,2023-04-08 15:14:21.414,-1.9037123,-0.1306589,0.6667267
144,2023-04-08 15:14:21.420,-1.8231189,-0.07448778,0.57148004
145,2023-04-08 15:14:21.422,-1.7840434,0.012211111,0.43471557
146,2023-04-08 15:14:21.423,-1.790149,0.04396,0.33580557
147,2023-04-08 15:14:21.461,-1.9208078,0.04029667,0.25765446
148,2023-04-08 15:14:21.462,-2.151598,-0.0048844446,0.21369445
149,2023-04-08 15:14:21.464,-2.4251268,-0.034191113,0.15874445
150,2023-04-08 15:14:21.502,-2.6351578,-0.04396,0.11600556
151,2023-04-08 15:14:21.505,-2.7951233,-0.019537779,0.12089001
152,2023-04-08 15:14:21.506,-2.942878,0.035412222,0.14164889
153,2023-04-08 15:14:21.552,-3.0222502,0.09646778,0.20881
154,2023-04-08 15:14:21.593,-2.9807324,0.16118668,0.24178001
155,2023-04-08 15:14:21.595,-2.832978,0.23567446,0.33580557
156,2023-04-08 15:14:21.598,-2.5838711,0.30894113,0.3858711
157,2023-04-08 15:14:21.644,-2.306679,0.37366003,0.37488112
158,2023-04-08 15:14:21.645,-2.0917635,0.45791668,0.35900667
159,2023-04-08 15:14:21.646,-1.9403456,0.55438447,0.34557447
160,2023-04-08 15:14:21.685,-1.7754956,0.62643003,0.39197668
161,2023-04-08 15:14:21.686,-1.6875756,0.6020078,0.5030978
162,2023-04-08 15:14:21.730,-1.6924601,0.4481478,0.6691689
163,2023-04-08 15:14:21.734,-1.6961234,0.22224224,0.8853056
164,2023-04-08 15:14:21.734,-1.7303145,0.07326667,0.99886894
165,2023-04-08 15:14:21.776,-1.7425256,0.07448778,0.9634567
166,2023-04-08 15:14:21.778,-1.5495901,0.21125223,0.7302245
167,2023-04-08 15:14:21.818,-1.3761923,0.4689067,0.57148004
168,2023-04-08 15:14:21.821,-1.2711767,0.60811335,0.42983112
169,2023-04-08 15:14:21.870,-1.2943778,0.58124894,0.2942878
170,2023-04-08 15:14:21.871,-1.4531223,0.5885756,0.28329778
171,2023-04-08 15:14:21.873,-1.5581379,0.27841336,0.37854445
172,2023-04-08 15:14:21.910,-1.56058,-0.08303556,0.3944189
