1.0,-0.43589357,-1.9974464,2023-05-25 12:30:48.746000
2.0,-0.62749517,-1.9064356,2023-05-25 12:30:48.761000
3.0,-0.7759864,-2.0166066,2023-05-25 12:30:48.782000
4.0,-0.9627979,-1.9160157,2023-05-25 12:30:48.804000
5.0,-1.2406201,-1.5567628,2023-05-25 12:30:48.825000
6.0,-1.5423926,-0.9915381,2023-05-25 12:30:48.845000
7.0,-1.7771046,-0.5987549,2023-05-25 12:30:48.869000
8.0,-1.9974464,-0.56522465,2023-05-25 12:30:48.878000
9.0,-2.0309765,-0.6322852,2023-05-25 12:30:48.898000
10.0,-1.839375,-0.93405765,2023-05-25 12:30:48.916000
11.0,,,2023-05-25 12:30:48.936000
12.0,,,
13.0,,,
14.0,,,
15.0,,,
16.0,,,
17.0,,,
18.0,,,
19.0,,,
20.0,,,
21.0,,,
22.0,,,
23.0,,,
24.0,,,
25.0,,,
26.0,,,
27.0,,,
28.0,,,
29.0,,,
30.0,,,
31.0,,,
32.0,,,
33.0,,,
34.0,,,
35.0,,,
36.0,,,
37.0,,,
38.0,,,
39.0,,,
40.0,,,
41.0,,,
42.0,,,
43.0,,,
44.0,,,
45.0,,,
46.0,,,
47.0,,,
48.0,,,
49.0,,,
50.0,,,
51.0,,,
