epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1679950665912,2023-03-27T15:57:45.912,18.32,0.953,-0.244,0.202
1679950665932,2023-03-27T15:57:45.932,18.34,0.951,-0.239,0.2
1679950665952,2023-03-27T15:57:45.952,18.36,0.953,-0.236,0.204
1679950665972,2023-03-27T15:57:45.972,18.38,0.954,-0.24,0.203
1679950665992,2023-03-27T15:57:45.992,18.4,0.953,-0.241,0.199
1679950666012,2023-03-27T15:57:46.012,18.42,0.953,-0.24,0.197
1679950666032,2023-03-27T15:57:46.032,18.44,0.952,-0.24,0.199
1679950666052,2023-03-27T15:57:46.052,18.46,0.951,-0.239,0.2
1679950666072,2023-03-27T15:57:46.072,18.48,0.953,-0.24,0.199
1679950666092,2023-03-27T15:57:46.092,18.5,0.952,-0.242,0.196
1679950666112,2023-03-27T15:57:46.112,18.52,0.949,-0.245,0.192
1679950666132,2023-03-27T15:57:46.132,18.54,0.955,-0.249,0.202
1679950666152,2023-03-27T15:57:46.152,18.56,0.955,-0.253,0.212
1679950666172,2023-03-27T15:57:46.172,18.58,0.956,-0.249,0.2
1679950666192,2023-03-27T15:57:46.192,18.6,0.953,-0.255,0.189
1679950666212,2023-03-27T15:57:46.212,18.62,0.95,-0.267,0.189
1679950666232,2023-03-27T15:57:46.232,18.64,0.948,-0.261,0.194
1679950666252,2023-03-27T15:57:46.252,18.66,0.941,-0.255,0.196
1679950666272,2023-03-27T15:57:46.272,18.68,0.949,-0.245,0.212
1679950666292,2023-03-27T15:57:46.292,18.7,0.953,-0.234,0.225
1679950666312,2023-03-27T15:57:46.312,18.72,0.941,-0.234,0.224
1679950666332,2023-03-27T15:57:46.332,18.74,0.952,-0.238,0.24
1679950666352,2023-03-27T15:57:46.352,18.76,0.95,-0.241,0.22
1679950666372,2023-03-27T15:57:46.372,18.78,0.943,-0.244,0.204
1679950666392,2023-03-27T15:57:46.392,18.8,0.936,-0.24,0.178
1679950666412,2023-03-27T15:57:46.412,18.82,0.923,-0.252,0.154
1679950666432,2023-03-27T15:57:46.432,18.84,0.917,-0.263,0.153
1679950666452,2023-03-27T15:57:46.452,18.86,0.895,-0.26,0.138
1679950666472,2023-03-27T15:57:46.472,18.88,0.906,-0.244,0.146
1679950666492,2023-03-27T15:57:46.492,18.9,0.947,-0.253,0.124
1679950666512,2023-03-27T15:57:46.512,18.92,0.983,-0.27,0.093
1679950666532,2023-03-27T15:57:46.532,18.94,0.993,-0.273,0.068
1679950666552,2023-03-27T15:57:46.552,18.96,0.996,-0.287,0.078
1679950666572,2023-03-27T15:57:46.572,18.98,0.983,-0.292,0.078
1679950666592,2023-03-27T15:57:46.592,19,0.977,-0.268,0.067
1679950666612,2023-03-27T15:57:46.612,19.02,0.974,-0.243,0.063
1679950666632,2023-03-27T15:57:46.632,19.04,0.972,-0.217,0.056
1679950666652,2023-03-27T15:57:46.652,19.06,0.987,-0.197,0.041
1679950666672,2023-03-27T15:57:46.672,19.08,0.993,-0.201,0.023
1679950666692,2023-03-27T15:57:46.692,19.1,0.988,-0.211,0.019
1679950666712,2023-03-27T15:57:46.712,19.12,0.981,-0.238,0.012
1679950666732,2023-03-27T15:57:46.732,19.14,0.967,-0.277,0.004
1679950666752,2023-03-27T15:57:46.752,19.16,0.946,-0.305,0.001
1679950666772,2023-03-27T15:57:46.772,19.18,0.941,-0.319,0.004
1679950666792,2023-03-27T15:57:46.792,19.2,0.941,-0.313,-0.006
1679950666812,2023-03-27T15:57:46.812,19.22,0.939,-0.293,-0.02
1679950666832,2023-03-27T15:57:46.832,19.24,0.944,-0.289,-0.032
1679950666852,2023-03-27T15:57:46.852,19.26,0.944,-0.273,-0.03
1679950666872,2023-03-27T15:57:46.872,19.28,0.95,-0.258,-0.013
1679950666892,2023-03-27T15:57:46.892,19.3,0.938,-0.259,-0.001
1679950666912,2023-03-27T15:57:46.912,19.32,0.937,-0.251,0.003
1679950666932,2023-03-27T15:57:46.932,19.34,0.961,-0.255,0.004
1679950666952,2023-03-27T15:57:46.952,19.36,0.958,-0.266,0.004
1679950666972,2023-03-27T15:57:46.972,19.38,0.934,-0.277,0.013
1679950666992,2023-03-27T15:57:46.992,19.4,0.917,-0.294,0.022
1679950667012,2023-03-27T15:57:47.012,19.42,0.947,-0.305,0.035
1679950667032,2023-03-27T15:57:47.032,19.44,1.011,-0.308,0.039
1679950667052,2023-03-27T15:57:47.052,19.46,1.103,-0.337,0.057
1679950667072,2023-03-27T15:57:47.072,19.48,1.142,-0.347,0.093
1679950667092,2023-03-27T15:57:47.092,19.5,1.084,-0.326,0.102
1679950667112,2023-03-27T15:57:47.112,19.52,0.992,-0.324,0.113
1679950667132,2023-03-27T15:57:47.132,19.54,0.903,-0.313,0.141
1679950667152,2023-03-27T15:57:47.152,19.56,0.838,-0.302,0.172
1679950667172,2023-03-27T15:57:47.172,19.58,0.857,-0.289,0.23
1679950667192,2023-03-27T15:57:47.192,19.6,0.905,-0.274,0.237
1679950667212,2023-03-27T15:57:47.212,19.62,0.949,-0.267,0.213
1679950667232,2023-03-27T15:57:47.232,19.64,1.007,-0.282,0.195
1679950667252,2023-03-27T15:57:47.252,19.66,1.032,-0.292,0.153
1679950667272,2023-03-27T15:57:47.272,19.68,0.996,-0.298,0.136
1679950667292,2023-03-27T15:57:47.292,19.7,0.949,-0.304,0.169
1679950667312,2023-03-27T15:57:47.312,19.72,0.918,-0.295,0.205
1679950667332,2023-03-27T15:57:47.332,19.74,0.91,-0.261,0.198
1679950667352,2023-03-27T15:57:47.352,19.76,0.941,-0.225,0.191
1679950667372,2023-03-27T15:57:47.372,19.78,0.926,-0.193,0.167
1679950667392,2023-03-27T15:57:47.392,19.8,0.916,-0.184,0.163
1679950667412,2023-03-27T15:57:47.412,19.82,0.892,-0.185,0.157
1679950667432,2023-03-27T15:57:47.432,19.84,0.891,-0.192,0.157
1679950667452,2023-03-27T15:57:47.452,19.86,0.915,-0.193,0.159
1679950667472,2023-03-27T15:57:47.472,19.88,0.913,-0.171,0.143
1679950667492,2023-03-27T15:57:47.492,19.9,0.904,-0.142,0.15
1679950667512,2023-03-27T15:57:47.512,19.92,0.87,-0.145,0.16
1679950667532,2023-03-27T15:57:47.532,19.94,0.841,-0.17,0.12
1679950667552,2023-03-27T15:57:47.552,19.96,0.848,-0.193,0.08
1679950667572,2023-03-27T15:57:47.572,19.98,0.906,-0.209,0.128
1679950667592,2023-03-27T15:57:47.592,20,0.953,-0.192,0.152
1679950667612,2023-03-27T15:57:47.612,20.02,0.984,-0.139,0.149
1679950667632,2023-03-27T15:57:47.632,20.04,1.003,-0.067,0.128
1679950667652,2023-03-27T15:57:47.652,20.06,0.999,0.007,0.085
1679950667672,2023-03-27T15:57:47.672,20.08,1.055,0.036,0.08
1679950667692,2023-03-27T15:57:47.692,20.1,1.069,0.002,0.043
1679950667712,2023-03-27T15:57:47.712,20.12,1.065,-0.047,0.012
1679950667732,2023-03-27T15:57:47.732,20.14,1.192,-0.187,0.064
1679950667752,2023-03-27T15:57:47.752,20.16,1.229,-0.366,0.008
1679950667772,2023-03-27T15:57:47.772,20.18,1.23,-0.48,-0.041
1679950667792,2023-03-27T15:57:47.792,20.2,1.178,-0.543,-0.05
1679950667812,2023-03-27T15:57:47.812,20.22,1.121,-0.572,0.004
1679950667832,2023-03-27T15:57:47.832,20.24,1.193,-0.608,0.151
1679950667852,2023-03-27T15:57:47.852,20.26,1.022,-0.528,0.039
1679950667872,2023-03-27T15:57:47.872,20.28,0.861,-0.303,0.127
1679950667892,2023-03-27T15:57:47.892,20.3,0.771,-0.207,0.16
