epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1679676998712,2023-03-24T11:56:38.712,21.3,-0.938,0.335,-0.058
1679676998732,2023-03-24T11:56:38.732,21.32,-0.94,0.334,-0.059
1679676998752,2023-03-24T11:56:38.752,21.34,-0.94,0.332,-0.059
1679676998772,2023-03-24T11:56:38.772,21.36,-0.941,0.331,-0.058
1679676998792,2023-03-24T11:56:38.792,21.38,-0.939,0.333,-0.055
1679676998812,2023-03-24T11:56:38.812,21.4,-0.939,0.335,-0.059
1679676998832,2023-03-24T11:56:38.832,21.42,-0.941,0.335,-0.06
1679676998852,2023-03-24T11:56:38.852,21.44,-0.942,0.333,-0.057
1679676998872,2023-03-24T11:56:38.872,21.46,-0.938,0.331,-0.057
1679676998892,2023-03-24T11:56:38.892,21.48,-0.94,0.332,-0.057
1679676998912,2023-03-24T11:56:38.912,21.5,-0.942,0.331,-0.058
1679676998932,2023-03-24T11:56:38.932,21.52,-0.94,0.331,-0.059
1679676998952,2023-03-24T11:56:38.952,21.54,-0.941,0.331,-0.059
1679676998972,2023-03-24T11:56:38.972,21.56,-0.938,0.335,-0.056
1679676998992,2023-03-24T11:56:38.992,21.58,-0.939,0.335,-0.058
1679676999012,2023-03-24T11:56:39.012,21.6,-0.943,0.331,-0.058
1679676999032,2023-03-24T11:56:39.032,21.62,-0.944,0.328,-0.057
1679676999052,2023-03-24T11:56:39.052,21.64,-0.942,0.33,-0.058
1679676999072,2023-03-24T11:56:39.072,21.66,-0.94,0.332,-0.057
1679676999092,2023-03-24T11:56:39.092,21.68,-0.939,0.333,-0.056
1679676999112,2023-03-24T11:56:39.112,21.7,-0.938,0.333,-0.055
1679676999132,2023-03-24T11:56:39.132,21.72,-0.936,0.335,-0.057
1679676999152,2023-03-24T11:56:39.152,21.74,-0.936,0.336,-0.062
1679676999172,2023-03-24T11:56:39.172,21.76,-0.935,0.341,-0.061
1679676999192,2023-03-24T11:56:39.192,21.78,-0.935,0.343,-0.058
1679676999212,2023-03-24T11:56:39.212,21.8,-0.934,0.34,-0.049
1679676999232,2023-03-24T11:56:39.232,21.82,-0.938,0.339,-0.05
1679676999252,2023-03-24T11:56:39.252,21.84,-0.937,0.343,-0.059
1679676999272,2023-03-24T11:56:39.272,21.86,-0.934,0.344,-0.062
1679676999292,2023-03-24T11:56:39.292,21.88,-0.932,0.342,-0.062
1679676999312,2023-03-24T11:56:39.312,21.9,-0.931,0.35,-0.069
1679676999332,2023-03-24T11:56:39.332,21.92,-0.924,0.35,-0.066
1679676999352,2023-03-24T11:56:39.352,21.94,-0.914,0.348,-0.073
1679676999372,2023-03-24T11:56:39.372,21.96,-0.907,0.338,-0.076
1679676999392,2023-03-24T11:56:39.392,21.98,-0.908,0.338,-0.098
1679676999412,2023-03-24T11:56:39.412,22,-0.913,0.347,-0.108
1679676999432,2023-03-24T11:56:39.432,22.02,-0.913,0.338,-0.108
1679676999452,2023-03-24T11:56:39.452,22.04,-0.912,0.323,-0.118
1679676999472,2023-03-24T11:56:39.472,22.06,-0.933,0.302,-0.117
1679676999492,2023-03-24T11:56:39.492,22.08,-0.944,0.277,-0.126
1679676999512,2023-03-24T11:56:39.512,22.1,-0.946,0.234,-0.126
1679676999532,2023-03-24T11:56:39.532,22.12,-0.95,0.219,-0.146
1679676999552,2023-03-24T11:56:39.552,22.14,-0.967,0.245,-0.142
