epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1679949329198,2023-03-27T15:35:29.198,28.68,0.947,-0.08,-0.148
1679949329218,2023-03-27T15:35:29.218,28.7,0.964,-0.074,-0.148
1679949329238,2023-03-27T15:35:29.238,28.72,0.981,-0.074,-0.155
1679949329258,2023-03-27T15:35:29.258,28.74,0.976,-0.073,-0.158
1679949329278,2023-03-27T15:35:29.278,28.76,0.965,-0.069,-0.147
1679949329298,2023-03-27T15:35:29.298,28.78,0.95,-0.066,-0.132
1679949329318,2023-03-27T15:35:29.318,28.8,0.956,-0.066,-0.127
1679949329338,2023-03-27T15:35:29.338,28.82,0.973,-0.075,-0.123
1679949329358,2023-03-27T15:35:29.358,28.84,0.978,-0.093,-0.118
1679949329378,2023-03-27T15:35:29.378,28.86,0.985,-0.116,-0.116
1679949329398,2023-03-27T15:35:29.398,28.88,0.989,-0.143,-0.12
1679949329418,2023-03-27T15:35:29.418,28.9,0.978,-0.152,-0.12
1679949329438,2023-03-27T15:35:29.438,28.92,0.974,-0.132,-0.103
1679949329458,2023-03-27T15:35:29.458,28.94,0.98,-0.111,-0.089
1679949329478,2023-03-27T15:35:29.478,28.96,0.974,-0.091,-0.084
1679949329498,2023-03-27T15:35:29.498,28.98,0.966,-0.071,-0.086
1679949329518,2023-03-27T15:35:29.518,29,0.967,-0.079,-0.097
1679949329538,2023-03-27T15:35:29.538,29.02,0.973,-0.109,-0.11
1679949329558,2023-03-27T15:35:29.558,29.04,0.979,-0.131,-0.122
1679949329578,2023-03-27T15:35:29.578,29.06,0.981,-0.134,-0.132
1679949329598,2023-03-27T15:35:29.598,29.08,0.98,-0.129,-0.109
1679949329618,2023-03-27T15:35:29.618,29.1,0.98,-0.118,-0.1
1679949329638,2023-03-27T15:35:29.638,29.12,0.984,-0.106,-0.089
1679949329658,2023-03-27T15:35:29.658,29.14,0.981,-0.096,-0.079
1679949329678,2023-03-27T15:35:29.678,29.16,0.974,-0.102,-0.062
1679949329698,2023-03-27T15:35:29.698,29.18,0.991,-0.089,-0.055
1679949329718,2023-03-27T15:35:29.718,29.2,0.993,-0.068,-0.049
1679949329738,2023-03-27T15:35:29.738,29.22,0.98,-0.057,-0.049
1679949329758,2023-03-27T15:35:29.758,29.24,0.98,-0.072,-0.036
1679949329778,2023-03-27T15:35:29.778,29.26,0.98,-0.098,-0.031
1679949329798,2023-03-27T15:35:29.798,29.28,1.001,-0.116,-0.034
1679949329818,2023-03-27T15:35:29.818,29.3,1.055,-0.137,-0.039
1679949329838,2023-03-27T15:35:29.838,29.32,1.059,-0.168,-0.047
1679949329858,2023-03-27T15:35:29.858,29.34,1.036,-0.215,-0.057
1679949329878,2023-03-27T15:35:29.878,29.36,0.996,-0.245,-0.078
1679949329898,2023-03-27T15:35:29.898,29.38,0.98,-0.236,-0.087
1679949329918,2023-03-27T15:35:29.918,29.4,1.003,-0.218,-0.091
1679949329938,2023-03-27T15:35:29.938,29.42,1.004,-0.231,-0.08
1679949329958,2023-03-27T15:35:29.958,29.44,0.972,-0.261,-0.089
1679949329978,2023-03-27T15:35:29.978,29.46,1.012,-0.286,-0.108
1679949329998,2023-03-27T15:35:29.998,29.48,1.068,-0.345,-0.072
1679949330018,2023-03-27T15:35:30.018,29.5,1.105,-0.487,-0.054
1679949330038,2023-03-27T15:35:30.038,29.52,1.137,-0.644,-0.079
1679949330058,2023-03-27T15:35:30.058,29.54,1.099,-0.723,-0.143
1679949330078,2023-03-27T15:35:30.078,29.56,1.019,-0.717,-0.13
1679949330098,2023-03-27T15:35:30.098,29.58,0.992,-0.699,-0.107
1679949330118,2023-03-27T15:35:30.118,29.6,0.986,-0.752,-0.096
1679949330138,2023-03-27T15:35:30.138,29.62,0.916,-0.76,-0.112
1679949330158,2023-03-27T15:35:30.158,29.64,0.875,-0.709,-0.149
1679949330178,2023-03-27T15:35:30.178,29.66,0.898,-0.693,-0.157
1679949330198,2023-03-27T15:35:30.198,29.68,0.891,-0.68,-0.155
