epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1679949871311,2023-03-27T15:44:31.311,20.14,0.93,-0.262,0.298
1679949871331,2023-03-27T15:44:31.331,20.16,0.927,-0.264,0.295
1679949871351,2023-03-27T15:44:31.351,20.18,0.92,-0.27,0.293
1679949871371,2023-03-27T15:44:31.371,20.2,0.922,-0.269,0.296
1679949871391,2023-03-27T15:44:31.391,20.22,0.922,-0.266,0.295
1679949871411,2023-03-27T15:44:31.411,20.24,0.924,-0.263,0.299
1679949871431,2023-03-27T15:44:31.431,20.26,0.927,-0.262,0.3
1679949871451,2023-03-27T15:44:31.451,20.28,0.924,-0.266,0.297
1679949871471,2023-03-27T15:44:31.471,20.3,0.923,-0.273,0.292
1679949871491,2023-03-27T15:44:31.491,20.32,0.925,-0.275,0.292
1679949871511,2023-03-27T15:44:31.511,20.34,0.924,-0.274,0.294
1679949871531,2023-03-27T15:44:31.531,20.36,0.922,-0.27,0.296
1679949871551,2023-03-27T15:44:31.551,20.38,0.922,-0.27,0.296
1679949871571,2023-03-27T15:44:31.571,20.4,0.922,-0.27,0.294
1679949871591,2023-03-27T15:44:31.591,20.42,0.923,-0.272,0.293
1679949871611,2023-03-27T15:44:31.611,20.44,0.923,-0.273,0.293
1679949871631,2023-03-27T15:44:31.631,20.46,0.925,-0.269,0.297
1679949871651,2023-03-27T15:44:31.651,20.48,0.924,-0.27,0.296
1679949871671,2023-03-27T15:44:31.671,20.5,0.924,-0.272,0.294
1679949871691,2023-03-27T15:44:31.691,20.52,0.924,-0.274,0.293
1679949871711,2023-03-27T15:44:31.711,20.54,0.923,-0.276,0.294
1679949871731,2023-03-27T15:44:31.731,20.56,0.922,-0.276,0.293
1679949871751,2023-03-27T15:44:31.751,20.58,0.922,-0.274,0.294
1679949871771,2023-03-27T15:44:31.771,20.6,0.923,-0.272,0.294
1679949871791,2023-03-27T15:44:31.791,20.62,0.921,-0.271,0.296
1679949871811,2023-03-27T15:44:31.811,20.64,0.923,-0.272,0.296
1679949871831,2023-03-27T15:44:31.831,20.66,0.925,-0.273,0.295
1679949871851,2023-03-27T15:44:31.851,20.68,0.923,-0.274,0.292
1679949871871,2023-03-27T15:44:31.871,20.7,0.921,-0.272,0.293
1679949871891,2023-03-27T15:44:31.891,20.72,0.923,-0.272,0.297
1679949871911,2023-03-27T15:44:31.911,20.74,0.922,-0.275,0.293
1679949871931,2023-03-27T15:44:31.931,20.76,0.923,-0.275,0.293
1679949871951,2023-03-27T15:44:31.951,20.78,0.923,-0.276,0.293
1679949871971,2023-03-27T15:44:31.971,20.8,0.92,-0.274,0.291
